Type,Entry Price,Exit Price,Profit Factor,Capital
Long,65.86547413640001,66.03331834789999,1.002548288214739,14215.680894291565
Long,66.9309200008,68.0766391838,1.0171179356713804,14459.02400536492
Long,68.2104280481,68.0474488862,0.9976106415607733,14424.47621433472
Long,68.1155595807,67.974473142,0.9979287193767696,14394.599076251721
Long,69.0837044529,69.1493826227,1.0009507042264183,14408.284082431112
Long,70.5213266125,70.49456883970001,0.9996205719023548,14402.817174611382
Long,70.9129631061,73.7517195531,1.0400315587257674,14979.384396153328
Long,71.4834753412,72.5563614494,1.015008868876044,15204.20801239905
Long,73.3049433477,74.063278756,1.0103449422872215,15361.49466681023
Long,75.8213489471,77.014423409,1.0157353367945536,15603.212959060227
Long,76.1342865109,75.2150324173,0.9879258854882892,15414.817979041924
